('名次', '选手', '战队', '位置', '出场次数', 'KDA', '参团率', '场均击杀', '单场最高击杀', '场均死亡', '单场最高死亡', '场均助攻', '单场最高助攻', 'GPM', 'CSPM', '每分钟输出', '输出占比', '每分钟承受伤害', '承受伤害占比', '每分钟插眼数', '每分钟排眼数')
['19', 'Bodydrop', 'CA', '辅助', '1', '1.2', '80.0%', '0.0', '0', '10.0', '10', '12.0', '12', '220', '0.76', '190', '10.6%', '727', '25.0%', '1.20', '0.13']
['20', 'Hauntzer', 'CA', '上单', '9', '3.6', '62.9%', '3.2', '7', '3.9', '7', '10.9', '17', '328', '5.83', '376', '18.9%', '621', '22.7%', '0.38', '0.20']
['21', 'Keane', 'CA', '中单', '9', '4.5', '64.9%', '7.3', '12', '3.2', '5', '7.2', '11', '382', '7.40', '512', '25.6%', '594', '21.7%', '0.26', '0.14']
['22', 'Bunny FuFuu', 'CA', '辅助', '9', '6.2', '73.3%', '1.4', '4', '2.7', '6', '15.0', '23', '248', '0.66', '143', '7.2%', '380', '13.9%', '1.23', '0.21']
['23', 'saeca', 'CA', '上单', '1', '1.6', '53.3%', '1.0', '1', '5.0', '5', '7.0', '7', '242', '3.16', '334', '18.7%', '742', '25.5%', '0.35', '0.13']
['24', 'Wolfe', 'CA', '中单', '1', '1.7', '66.7%', '4.0', '4', '6.0', '6', '6.0', '6', '308', '5.50', '475', '26.6%', '368', '12.7%', '0.38', '0.25']
['25', 'Inori', 'CA', '打野', '1', '1.8', '73.3%', '5.0', '5', '6.0', '6', '6.0', '6', '324', '3.73', '313', '17.6%', '613', '21.1%', '0.32', '0.19']
['26', 'Flaresz', 'PRO', '上单', '4', '1.6', '50.0%', '2.2', '4', '3.5', '5', '3.5', '10', '338', '7.20', '461', '26.6%', '640', '25.6%', '0.24', '0.14']
['27', 'Thinkcard', 'PRO', '打野', '4', '2.5', '65.2%', '0.8', '2', '3.0', '6', '6.8', '13', '270', '3.06', '132', '7.6%', '583', '23.4%', '0.52', '0.26']
['28', 'Yusui', 'PRO', '中单', '4', '4.6', '80.4%', '4.0', '8', '2.0', '4', '5.2', '12', '388', '8.90', '563', '32.4%', '386', '15.4%', '0.20', '0.20']
['29', 'Apollo', 'PRO', 'ADC', '4', '2.7', '58.7%', '4.2', '10', '2.5', '4', '2.5', '5', '350', '6.89', '475', '27.4%', '422', '16.9%', '0.18', '0.15']
['30', 'Keith', 'PRO', '辅助', '4', '2.0', '65.2%', '0.2', '1', '3.8', '5', '7.2', '16', '227', '0.63', '103', '6.0%', '466', '18.7%', '0.76', '0.15']
['31', 'Solo', 'ZEN', '上单', '3', '1.4', '48.6%', '2.0', '4', '4.0', '6', '3.7', '7', '310', '6.11', '326', '19.9%', '616', '29.3%', '0.24', '0.21']
['32', 'MiMo', 'ZEN', '打野', '3', '2.0', '74.3%', '0.7', '2', '4.3', '7', '8.0', '14', '257', '2.62', '128', '7.8%', '531', '25.3%', '1.07', '0.32']
['33', 'Easy', 'ZEN', '中单', '3', '4.0', '68.6%', '4.3', '5', '2.0', '3', '3.7', '8', '355', '7.68', '592', '36.1%', '273', '13.0%', '0.32', '0.35']
['34', 'Frost', 'ZEN', 'ADC', '3', '5.6', '80.0%', '4.7', '11', '1.7', '4', '4.7', '10', '398', '8.92', '520', '31.7%', '414', '19.7%', '0.23', '0.18']
['35', 'K1', 'ZEN', '辅助', '3', '4.0', '68.6%', '0.0', '0', '2.0', '5', '8.0', '12', '218', '0.46', '75', '4.6%', '270', '12.8%', '1.46', '0.16']
['36', 'Otter', 'NME', 'ADC', '4', '2.9', '49.4%', '4.2', '12', '3.8', '5', '6.5', '10', '361', '7.10', '509', '21.8%', '473', '16.7%', '0.17', '0.18']
['37', 'Bodydrop', 'NME', '辅助', '4', '4.6', '63.2%', '1.2', '2', '3.0', '5', '12.5', '21', '261', '0.53', '196', '8.4%', '484', '17.1%', '1.00', '0.16']
['38', 'saeca', 'NME', '上单', '4', '2.5', '54.0%', '4.2', '8', '4.8', '8', '7.5', '11', '320', '4.90', '453', '19.4%', '745', '26.2%', '0.44', '0.06']
['39', 'Wolfe', 'NME', '中单', '4', '2.4', '59.8%', '6.2', '10', '5.5', '9', '6.8', '9', '375', '6.44', '662', '28.3%', '491', '17.3%', '0.42', '0.17']
['40', 'Inori', 'NME', '打野', '4', '2.4', '46.0%', '5.8', '12', '4.2', '7', '4.2', '5', '347', '4.13', '519', '22.2%', '647', '22.8%', '0.32', '0.08']
['41', 'HuHi', 'FSN', '中单', '16', '3.5', '59.1%', '6.0', '11', '4.0', '8', '8.0', '16', '360', '6.83', '561', '26.0%', '519', '19.2%', '0.27', '0.12']
['42', 'NintendudeX', 'FSN', '打野', '16', '4.3', '62.3%', '2.1', '6', '3.4', '11', '12.7', '25', '274', '2.69', '209', '9.7%', '630', '23.3%', '0.81', '0.23']
['43', 'Nientonsoh', 'FSN', 'ADC', '16', '6.0', '64.9%', '8.8', '15', '2.6', '6', '6.6', '17', '440', '9.17', '666', '30.8%', '537', '19.9%', '0.09', '0.15']
['44', 'Gleeb', 'FSN', '辅助', '14', '3.3', '67.6%', '0.9', '3', '4.5', '10', '14.2', '29', '242', '0.50', '122', '5.8%', '412', '15.3%', '1.05', '0.22']
['45', 'Chunkyfresh', 'FSN', '辅助', '2', '8.5', '76.1%', '1.5', '2', '3.0', '3', '24.0', '26', '331', '0.72', '129', '5.2%', '484', '17.7%', '0.87', '0.20']
['46', 'MakNooN', 'FSN', '上单', '16', '2.3', '57.8%', '5.9', '15', '5.9', '10', '7.8', '19', '338', '5.73', '600', '27.8%', '596', '22.1%', '0.32', '0.14']
['47', 'Gate', 'F5', '中单', '14', '2.4', '67.3%', '3.6', '8', '4.3', '9', '6.6', '19', '371', '7.59', '531', '28.1%', '560', '19.9%', '0.22', '0.16']
['48', 'ShorterACE', 'F5', '打野', '14', '1.8', '59.2%', '2.0', '4', '4.9', '10', '6.9', '13', '267', '2.83', '223', '11.8%', '733', '26.0%', '0.74', '0.19']
['49', 'Rhux', 'F5', '上单', '14', '2.7', '62.6%', '3.1', '11', '3.5', '8', '6.4', '18', '329', '6.37', '422', '22.3%', '580', '20.5%', '0.30', '0.09']
['50', 'Rule18', 'F5', '辅助', '14', '2.6', '75.4%', '1.1', '2', '4.3', '10', '10.2', '20', '245', '0.52', '121', '6.4%', '406', '14.4%', '1.74', '0.27']
['51', 'Prototype', 'F5', 'ADC', '14', '2.1', '65.4%', '5.3', '13', '4.7', '9', '4.6', '11', '374', '7.51', '591', '31.3%', '542', '19.2%', '0.13', '0.15']
['52', 'hoofspark', 'OO', 'ADC', '3', '0.8', '42.3%', '1.0', '2', '4.7', '6', '2.7', '6', '287', '5.59', '320', '19.3%', '447', '16.2%', '0.22', '0.09']
['53', 'Arcsecond', 'OO', '中单', '3', '4.2', '80.8%', '3.3', '7', '1.7', '3', '3.7', '10', '349', '7.66', '608', '36.6%', '425', '15.4%', '0.17', '0.17']
['54', 'Hanjaro', 'OO', '辅助', '3', '1.2', '61.5%', '0.0', '0', '4.3', '8', '5.3', '14', '221', '0.66', '84', '5.1%', '479', '17.4%', '1.05', '0.28']
['55', 'ChumpJohn', 'OO', '上单', '3', '1.2', '61.5%', '2.3', '7', '4.3', '6', '3.0', '9', '328', '7.07', '419', '25.2%', '736', '26.7%', '0.29', '0.14']
['56', 'xSojin', 'OO', '打野', '3', '1.2', '57.7%', '2.0', '6', '4.3', '6', '3.0', '8', '249', '2.90', '229', '13.8%', '669', '24.3%', '0.56', '0.29']
['57', 'Abou22', 'FSE', '中单', '2', '1.7', '79.2%', '3.5', '4', '5.5', '7', '6.0', '9', '329', '6.91', '401', '23.2%', '448', '16.6%', '0.55', '0.11']
['58', 'Mysterious', 'FSE', '上单', '2', '2.7', '79.2%', '3.5', '6', '3.5', '5', '6.0', '8', '319', '6.63', '512', '29.7%', '716', '26.5%', '0.32', '0.04']
['59', 'Azingy', 'FSE', '打野', '2', '1.5', '62.5%', '1.0', '2', '5.0', '5', '6.5', '9', '235', '2.41', '212', '12.3%', '649', '24.0%', '0.31', '0.13']
['60', 'Indivisible', 'FSE', '辅助', '2', '2.3', '58.3%', '1.0', '1', '3.0', '3', '6.0', '11', '220', '0.36', '151', '8.7%', '411', '15.2%', '1.34', '0.25']
['61', 'I Am The IRS', 'FSE', 'ADC', '2', '2.1', '62.5%', '3.0', '6', '3.5', '5', '4.5', '6', '325', '7.18', '449', '26.0%', '483', '17.8%', '0.13', '0.13']
['62', 'Tonington', 'NT', '上单', '2', '0.8', '50.0%', '1.0', '2', '5.0', '8', '3.0', '4', '245', '4.34', '291', '17.3%', '753', '21.5%', '0.38', '0.02']
